# oemu decode corpus
# compiler: Ubuntu clang version 18.1.3 (1ubuntu1)
# name	opt	bytes	insns	sha256
k_addsub-O0.bin	O0	500	125	e6059656e237174bcfa2ad26c7a5209c6c3535df277b5b2b614624cfafca835c
k_addsub-O2.bin	O2	260	65	1c097957a49b48f5884d4ca149df125f628b06c215ada633ed31b15829f0ff20
k_bitfield-O0.bin	O0	508	127	246ad4a31a03ef52edd4ea2e3229bf35c670babb50d965ab91205b7a30fa2632
k_bitfield-O2.bin	O2	112	28	9c6e03568003a298aed879edaadac0f9bdf84141c8247a8c762b241ab4715c99
k_branches-O0.bin	O0	852	213	cb35f664463bc7c2c73ece67a3416e5626a0c228782acb2ee308e3c29d177589
k_branches-O2.bin	O2	516	129	12da6f22dc4d8b9a254e959285a539fa0bdbc0c43dbd3da6a5dced2ce7d7a137
k_csel-O0.bin	O0	644	161	b299ddd382705d72253162b4a24380fc4c06ddbcef414a693b8f09ca9d3aec89
k_csel-O2.bin	O2	180	45	06ca36a54640258379b70f44f7635fe52dab847bd091d1100a02d6307b80a348
k_hash-O0.bin	O0	700	175	bd7488dfa7cfe9e97d7ead1f7600ce5a91a00c320eda4d2480f4a1bbdf93671f
k_hash-O2.bin	O2	332	83	95aad99c3cea4d2e9560897cc182a6dbe4d0b764d33b5e7c3ba57d4cffad09b1
k_ldst-O0.bin	O0	928	232	cae563bd864c7a76c29b65a400f8b7f5153f584ff69c6ac5552bc569fe368c88
k_ldst-O2.bin	O2	1224	306	1ffff25dd3c7dc47756015c49ade70c0c3556ecafe1fc1bf71810862b20973e0
k_logic-O0.bin	O0	384	96	f13dd5a604227f73fe774ab207753305e85469ab5c3afbbe2845ec4a9343bf8a
k_logic-O2.bin	O2	100	25	1821e86a33e6a793786fb8d43cda8718ecfe2d9bfc58d19424c513d1c7f234f6
k_memops-O0.bin	O0	660	165	73921898fef73453e7c6d5857d4692b1748115afd2ef13f5e0574352d9cfcd8e
k_memops-O2.bin	O2	224	56	943b58f1acd3dc3bf66e6970f3f7afd680716eebf576b45f393510cac91e8541
k_movewide-O0.bin	O0	316	79	2d7a558b612b52eaa599c1e114f085510b73418630c8ad924e6757a7305677da
k_movewide-O2.bin	O2	104	26	d5864948927763c19b79e13e9f2d2690a9723ac33ca59bf688cebe21596c4ed1
k_muldiv-O0.bin	O0	376	94	04a9fcc54370b9fd7d7162df66f4801b81011f2091e3540852ebdea92c39b710
k_muldiv-O2.bin	O2	144	36	ad554e373e4e54f2c3dac790160419ceb5e5e4a356eb414efdb44d3a3fd23782
k_svc-O0.bin	O0	200	50	7cf1d2a0bb795b07066e871a708bb5af778adeab9cf3db11c42af0fdf9186c57
k_svc-O2.bin	O2	48	12	811d54f60dd641485b29c9b49c6bce1b53da50826cda0cd451a4266c6b27e9e9
